Subcategory,Filename,Image URL,Resolution
Biryani,Biryani_1.jpg,https://www.google.com/logos/doodles/2025/international-womens-day-2025-6753651837110620.5-shs.png,1150x116
Biryani,Biryani_2.jpg,https://www.google.com/logos/doodles/2025/international-womens-day-2025-6753651837110620.4-s.png,120x44
Biryani,Biryani_3.jpg,https://www.google.com/logos/doodles/2025/international-womens-day-2025-6753651837110620.5-lsg.png,192x192
Biryani,Biryani_4.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToQeEzY2fIEMUursdw-yXUk6iDFxhbnZ6LucAKXsGvcofCTLb3rbPah_20&s,69x46
Biryani,Biryani_5.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZ4ZGOISAuaiDwpVVz43qHj8MIdzfcAJbNa6uVzPX_5smxdQS96u_iLmpH&s,46x54
Biryani,Biryani_6.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFxBq1_D3qCzcPAuIUjgGRn_-pmdpA4g_-EY6RV0szsFRjD296w127QW6e&s,46x46
Biryani,Biryani_7.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuOXZaeDPWqlboZ6gyZDhKgE4jcglnxZgo7F8PPe9IgVcb_o07mXdcRCHE&s,46x46
Biryani,Biryani_8.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSplqN8_mWnWVkpseMg_NiDhapxweryGZypyIukjUF8UqZXmJAFG1IRXzdb&s,61x46
Biryani,Biryani_9.jpg,https://fonts.gstatic.com/s/i/productlogos/googleg/v6/24px.svg,unknown
Biryani,Biryani_10.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQF70ezOPc9X-w7njdQomNjQx76-_pig7Ydgw&s,225x225
Biryani,Biryani_11.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtDiMiok2ektyhL9ZFNhPX3psPNJKIaVY3Ng&s,225x225
Biryani,Biryani_12.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtQGpdmQV-Yn3Gk1n19R6d7IhnMnx6f3pLbA&s,275x183
Biryani,Biryani_13.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSl1oMyM0YoMox8FnYnlMb5BZuVIb2IwIXzBw&s,273x185
Biryani,Biryani_14.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-YWXYqaf_6hoYpb83ee5FeFlBGxNgXxa0uw&s,194x259
Biryani,Biryani_15.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGGGRb2eCBUFpDjmFtb1g6DBXEsQXOWH3Mfg&s,275x183
Biryani,Biryani_16.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1VgtCVpBylqLtyh0srGCyTrJvrbLmRc9anw&s,275x183
Biryani,Biryani_17.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYwacTI-m_fwmg2jkJX1bw9gkuIQd2QPzA6w&s,301x167
Biryani,Biryani_18.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTprITvbIR0ZZS7U9Vr47kU32HcOGfyC_tBIg&s,300x168
Biryani,Biryani_19.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuNTrVoW6lsFD0DZT-kjNU_2s-t5RYQQjJVQ&s,225x225
Biryani,Biryani_20.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8HNKlUfRYjXgZp7MQRZA7rU8Uw3SSe6ur5A&s,182x276
Biryani,Biryani_21.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpXBQZErhywR7moryDPI5bwAQR38EXsKZzKw&s,259x194
Biryani,Biryani_22.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPggd665RW3OQ4_UFeiGsnOjy7S9VWi3svrQ&s,184x275
Biryani,Biryani_23.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxht9Nx3vSgzgMsUI5ieOrdLDpPuvkZC4JlQ&s,259x194
Biryani,Biryani_24.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9nTxlOhhiHb9xN1wShjIo1V6mQe2kETbrmA&s,206x245
Biryani,Biryani_25.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbxZAOZTd8s2NCOVoEQzGAI-R3D3KwiHuqlg&s,180x280
Biryani,Biryani_26.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSrXCjF_3b6MimAhoSs4YyICNSKwD3PvC9Bw&s,275x183
Biryani,Biryani_27.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSx6MQBR-F5sYTACC0OKlgxzaDhefm1NN6law&s,183x275
Biryani,Biryani_28.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQg0wdwvDpxKcnl-3yX_wits1WLSzLeRAF1YA&s,183x275
Biryani,Biryani_29.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRR3FSNHj5Cc0266H0h7QfSa7VG7FbwiBczHQ&s,183x275
Biryani,Biryani_30.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvpadDq0CJwpzmwHewLUXQi6xzGV8-hCoA9A&s,197x256
Biryani,Biryani_31.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZ42UMdoYxhR6nsr8DB6BkZGf52JPg4HUBtg&s,258x196
Biryani,Biryani_32.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmvlXI3CQeoB0wo2pmIeAdVZHddQip9XOO6g&s,265x190
Biryani,Biryani_33.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRktGtGWC_CuPEtYV3ilwyhh4XId_4iLpW6AQ&s,205x246
Biryani,Biryani_34.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv-mW5pElUpoE8VmiYxI7L5ox4CnwLKhEkeA&s,183x275
Biryani,Biryani_35.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMOnYNvZq7LmofpjYi2omNnVMjNwK5ZpeH4A&s,190x266
Biryani,Biryani_36.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9fK4PEF3acl6fDr0LiaH09qXesvATaWWeK3C-mJC0jzqy7KjCR1Y0&s=0,50x50
Biryani,Biryani_37.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcHGc7fP_2ClC_pXLt7pZw60HSjMP_3vuxx6rEgvG7&s=0,50x50
Biryani,Biryani_38.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZ1KKTSFiAl4wIs5NlRZ-P-vawnhUdumgbfjhKKEUmrQxO5cUIkbTQ&s=0,50x50
Biryani,Biryani_39.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-Ds3Ep6URB3bOHiUbl-2Mq4sI0idTpxM3Rg&s,275x183
Biryani,Biryani_40.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTneJ_eLssINM6gfXNWQJr4ri8AcxAgSnLSZg&s,183x275
Biryani,Biryani_41.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSk6TfMNBZJ5wcAKwRw27peGazluzztxxeiAw&s,275x183
Biryani,Biryani_42.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx5-CRTLDl55N1_oRNcqF7O_cxts4aWSqk0A&s,180x280
Biryani,Biryani_43.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhMWncbSFUIBwmOrB-OBGm3D8_u3oqKat0Qg&s,275x183
Biryani,Biryani_44.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoWgC1EATKD_tVxrdxvmIVD8pOk_ofz-edPg&s,310x162
Biryani,Biryani_45.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSawkbtacJsCipd9PspfEsns_8Q2wSo2k9KtA&s,225x225
Biryani,Biryani_46.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTkrMz4Zq2KeALZ59uIdZxjYVuBz8u1IKdIQ&s,169x299
Biryani,Biryani_47.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuERwwQNReSKrFiWauxqPYQw6MUBohNCusfA&s,275x183
Biryani,Biryani_48.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2zI5rfBLkynHGfacCOFe8EqDPlMpgGetkUg&s,299x168
Biryani,Biryani_49.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN0HGig-Xrb02qo6C5My5DSwgNZF36yIWuRQ&s,183x275
Biryani,Biryani_50.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQU4QXGVjfjlbHuxmr8lTM0Yc3M51tbTvAkEg&s,225x225
Butter Chicken,Butter_Chicken_1.jpg,https://www.google.com/logos/doodles/2025/international-womens-day-2025-6753651837110620.5-shs.png,1150x116
Butter Chicken,Butter_Chicken_2.jpg,https://www.google.com/logos/doodles/2025/international-womens-day-2025-6753651837110620.4-s.png,120x44
Butter Chicken,Butter_Chicken_3.jpg,https://www.google.com/logos/doodles/2025/international-womens-day-2025-6753651837110620.5-lsg.png,192x192
Butter Chicken,Butter_Chicken_4.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-PLPsIBRv1tZdZj8GPiwyxSMYeg5CtB0FZ6b2zGPTE9DuOGxBpLfDDiTN&s,46x69
Butter Chicken,Butter_Chicken_5.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYuqt_66yKUBYGyeagwlCMI-bxNYA4-9cPcz480dOq6Jf3s43VCifw1Omd&s,61x46
